location_id,locationUUID,LocationPublicname,LocationInternalname,LocationType,LocationCountryCode,LocationCountrySubdivision,LocationCoordinatesLatitude,LocationCoordinatesLongitude,StoreNumber,LocationLifecycleStatus,LocationStoreFormat,LocationStoreDetailedFormat,LocationTimeZone,LocationAddressUUID,LocationParentStoreUUID
1029,94779ac4-7d95-42b1-97e9-f35a82e7d468,Salisbury Metro,Salisbury Metro,Store,GB,ENG,51.07024,-1.7968,3151,Trading,Metro,Superstore,Europe/London,462e63cf-a5db-432f-8e99-190a220918ca,null
1033,3a0fadad-5c4a-43c2-85cf-1f101c1c9147,One Stop Kilton Hill,One Stop Kilton Hill,One-Stop,GB,ENG,53.313415,-1.109456,0,Trading,Neighbourhood Hybrid,null,Europe/London,b396e3bc-3867-458b-99f6-07c75fa210ff,null
1037,1111bba6-4741-47f4-a2b0-7982e5dcaaf9,Sheffield Infirmary Superstore - NHS Workers Priority Time,Sheffield Infirmary Superstore - NHS Workers Priority Time,NHS-Workers-Priority-Time,GB,ENG,53.38938,-1.48255,0,Closed,null,null,Europe/London,8279f2a8-7067-49a2-8806-ec9960722ab9,9d177fda-237a-4db3-a552-a81be427905c
1041,c2c9a7e2-f702-4014-ae03-c7506baefda2,Stretford Extra - Cafe,Stretford Extra - Cafe,Cafe,GB,ENG,53.4592,-2.29048,0,Trading,null,null,Europe/London,9dd99101-9753-47ef-9826-e5e189210c10,1c5378e8-5c1a-4c3e-807b-ab3dd8ede285
1045,ed1dfe55-312e-47ce-bdd1-9efe51b778e9,Oulton Broad Esso Express,Oulton Broad Esso Express,Store,GB,ENG,52.46606,1.69991,2998,Trading,Express,Esso Express,Europe/London,4e3aa5ba-dc58-446b-a575-1295bdf621f1,null
1049,fff1a5e8-87ec-44f5-877a-08a696e9c2ba,Rugby Superstore - Travel Money,Rugby Superstore - Travel Money,Travel-Money,GB,ENG,52.38767,-1.25604,0,Trading,null,null,Europe/London,7dc5ad07-2c6d-45e8-9c6f-12156eab8d5a,6b05b3a4-6e98-4b44-b16d-41bd1eae7d52
1053,4bc79739-dc4f-421f-9e7e-ceac5b0effe7,Macclesfield Hibel Rd Superstore - Elderly And Vulnerable Priority Time,Macclesfield Hibel Rd Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,53.26417,-2.1225,0,Closed,null,null,Europe/London,310cead3-874d-442a-b981-0038965e323f,5850971e-2326-4949-ab4a-7203eeb87e42
1057,b83b57a0-5fcf-480b-a129-920b311928e7,Queensbury Superstore,Queensbury Superstore,Store,GB,ENG,53.76824,-1.84136,6286,Trading,Superstore,Superstore,Europe/London,a59dc350-96ff-4f9c-8850-e6596944393b,null
1061,583a2020-6b12-4cb8-93d2-84bf814b89bf,Wembley Extra NO FROZEN ITEMS,Wembley Extra NO FROZEN ITEMS,Click-And-Collect,GB,ENG,51.55401,-0.25519,0,Closed,null,null,Europe/London,7e8a690f-ef0b-4c8d-83de-68669b2036e9,8d2878fc-3449-423e-be68-27a631ff7d69
1065,2f8ee501-2d14-44d9-9e6e-7d435e576645,Hackney Superstore - Elderly And Vulnerable Priority Time,Hackney Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,51.54688,-0.05269,0,Closed,null,null,Europe/London,81d1c309-ba53-4b3d-8a33-d6a4dea43da4,b54c30a7-b1fb-45f6-b2bc-73539f5f5907
1069,1c06b8f6-e035-4d6c-b19f-2f585cd622aa,Tesco Stores CR a.s.,Tesco Stores CR a.s.,Office,CZ,null,null,null,0,Trading,null,null,Europe/Prague,null,null
1073,ae397ab8-4b71-4c40-a377-473806948426,Amersham Superstore,Amersham Superstore,Click-And-Collect,GB,ENG,51.665968,-0.61105,0,Trading,Pod,null,Europe/London,ba98be79-5d17-4bd2-81d3-325cc2a087d9,accbabe3-8032-483f-a84a-35c4e9e2c88a
1077,0b7963c9-2450-4540-815c-ff84cd12fcc8,Stroud Superstore - Hot Deli,Stroud Superstore - Hot Deli,Hot-Deli,GB,ENG,51.74701,-2.22404,0,Trading,null,null,Europe/London,2e4d28cf-e780-44e9-aca0-2166c14b5493,0e18ac7f-8ee3-4bad-adaa-04d3e1777542
1081,2d344df6-f12e-4243-be3a-8b1dffce6735,Harestock Express,Harestock Express,Store,GB,ENG,51.08228,-1.33332,3455,Trading,Express,Express Standalone,Europe/London,a143325e-3b29-48b6-8fb1-737c7552e2d2,null
1085,d97ca26c-fa85-4c33-8ddb-d8d1b251515e,Bangor Superstore - Petrol Filling Station,Bangor Superstore - Petrol Filling Station,Petrol-Filling-Station,GB,NIR,54.64712,-5.65619,3757,Trading,null,Petrol Station,Europe/London,0de8f24b-3da7-4a89-9b3f-a81777ab6ce7,d80d5df1-ff4e-4f00-8912-21fe4e0ea819
1089,2d3c2622-ceb9-437c-8226-c0168d7d7774,Dundee Riverside Extra - Meat,Dundee Riverside Extra - Meat,Meat,GB,SCT,56.4546,-2.97545,0,Trading,null,null,Europe/London,af365d7e-ac60-4182-9499-998a8ff49cd4,e1233c43-b1e7-4c8f-be42-705cf82280df
1093,30caab09-7b17-42f8-a6a2-029ba63a4b57,Barking Esso Express - Petrol Filling Station,Barking Esso Express - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,51.5334,0.10558,0,Trading,null,null,Europe/London,bc2ff447-8c28-4520-908e-18fbfed1ac40,e9cade3e-8fd2-4c14-8c9e-81c8a30f520f
1097,0e34e514-38ff-4747-a23d-9caf32cbbc42,Dalkeith Hardengreen Superstore - Petrol Filling Station,Dalkeith Hardengreen Superstore - Petrol Filling Station,Petrol-Filling-Station,GB,SCT,55.88302,-3.08511,4008,Trading,null,Petrol Station,Europe/London,6d32d997-37d5-4296-a604-2252e7266a23,8fb4bfb5-1123-4810-b2fc-cf6ce38944cf
1101,e072a3c3-7556-4c68-bd21-62a313f8efaa,Lochgilphead Esso Express - Petrol Filling Station,Lochgilphead Esso Express - Petrol Filling Station,Petrol-Filling-Station,GB,SCT,56.03409,-5.42972,0,Trading,null,null,Europe/London,ac682011-8b61-4815-afc6-3f20b6973f9f,97aae74f-aefb-491b-98e5-ac3c16f8a84c
1105,d61de6f2-8abe-4db8-89db-207046cea287,EXMOUTH EXETER RD EXP,EXMOUTH EXETER RD EXP,Store,GB,ENG,null,null,5813,Abandoned,null,Express Standalone,Europe/London,b60824d7-a8c1-44ec-a81e-b98f18af9e93,null
1109,e85d75c4-0712-461d-9924-8c2bc1a13640,Cambridge Clifton Rd Express,Cambridge Clifton Rd Express,Store,GB,ENG,52.19031,0.13726,5875,Trading,Express,Express Standalone,Europe/London,2fca5cad-0352-495e-a108-f117ca36deea,null
1113,628d7c9f-0bae-4868-83f4-2e73378b1b4e,"London Road, Kirton","London Road, Kirton",One-Stop,GB,ENG,52.9258,0.0632,0,Trading,Grocery/Eat Later,null,Europe/London,9c3cf774-4c8d-428b-8f78-c817ad7aa728,null
1117,a7a45ac5-620d-47e6-a952-d030b1ee007f,North Berwick Superstore - Clothing Collection,North Berwick Superstore - Clothing Collection,Clothing-Collection,GB,SCT,56.05298,-2.70007,0,Closed,null,null,Europe/London,d14e324e-6ca9-42a3-b641-c19a4de0cad9,8f21b876-52e0-4b43-a142-ea205eb70821
1121,be76e1b8-5de1-4bd3-8588-dc69f0354587,Barnsley Extra - Pharmacy,Barnsley Extra - Pharmacy,Pharmacy,GB,ENG,53.54079,-1.43602,0,Trading,null,null,Europe/London,982b62fd-8a79-42ab-a01d-6a2c7be8fb7a,a084bcc9-c444-4dd7-bd1d-9293401611be
1125,06eb0bc0-a34e-4ce4-839f-06a0dd58e781,LND SURBITON EXP,LND SURBITON EXP,Store,GB,ENG,null,null,4544,Development,null,Express Standalone,Europe/London,2fbacffc-e838-47b9-84f7-823e055c401d,null
1129,9c9c5eec-2158-4277-962c-d138ac035aa8,TEMPEST RD WTRLOO EXP,TEMPEST RD WTRLOO EXP,Store,GB,ENG,null,null,2274,Closed,null,Express Standalone,Europe/London,7e70948b-a2a9-47e2-bf62-b441a0790fa8,null
1133,ff0e396a-f9b7-4f95-b109-6fe3c62d1792,Till Program Project Space- Metro Format Goodge Street,Till Program Project Space- Metro Format Goodge Street,Store,GB,ENG,51.52002,-0.13445,9350,Trading,Metro,Classic Metro,Europe/London,0f091656-2d7e-4fab-ae38-de0303a87afd,null
1137,63353eaa-70e1-423c-b45e-5c174ba6d01c,Shannon Banks Express,Shannon Banks Express,Store,IE,IE,52.685482,-8.607006,5180,Trading,Express,Express Standalone,Europe/Dublin,2708deac-cfa4-47c5-a78b-5ed4dfd29078,null
1141,1dbf2450-e027-4004-8aee-ca7d12a3f882,Yeovil Extra - Hot Deli,Yeovil Extra - Hot Deli,Hot-Deli,GB,ENG,50.94216,-2.6372,0,Trading,null,null,Europe/London,fc6fcbaf-439e-40f3-8e3c-da1207f15e19,d03ba9ff-b552-43bf-b7b2-4583ea7d5ba4
1145,391ab757-ac31-4c1a-b952-611003fdca58,Yate Extra - Cold Deli,Yate Extra - Cold Deli,Cold-Deli,GB,ENG,51.53958,-2.41176,0,Closed,null,null,Europe/London,5ba5ded9-feb0-4918-8c25-266096498546,710da469-21c3-41bb-b124-e615839e1c61
1149,0b2105ca-f39e-4573-952d-ef0bf58d41a1,Blackley Manchester Superstore - Scan as you Shop,Blackley Manchester Superstore - Scan as you Shop,Scan-as-you-Shop,GB,ENG,53.53241,-2.20732,0,Trading,null,null,Europe/London,171bf15d-dc3b-4723-9b65-8e069f5943b1,8c661f73-3a16-43e8-b85e-3080ceea3606
1153,836bda11-69ab-4a88-a719-8e3b00bdca44,Congleton W Rd Express,Congleton W Rd Express,Store,GB,ENG,53.16448,-2.22949,6848,Trading,Express,Express Standalone,Europe/London,c2f2b658-0084-47b2-a057-d8d92d9d139e,null
1157,c18e6595-a2bc-46dc-bd9e-a6050c9763fb,Prince Edward Rd Express,Prince Edward Rd Express,Store,GB,ENG,54.97201,-1.41301,6407,Trading,Express,Express Standalone,Europe/London,638d36df-38cf-4eea-8298-ddae34bb6e56,null
1161,04fe6469-d914-4bab-b191-6bc709b72c72,Portchester Farem EXP,Portchester Farem EXP,Store,GB,ENG,null,null,4766,Development,null,Express Standalone,Europe/London,null,null
1165,bbb997a2-36ec-4f3a-a2e8-273e2bd0abef,GUILDFORD SUPERSTORE,GUILDFORD SUPERSTORE,Click-And-Collect,GB,ENG,51.242179,-0.604265,0,Trading,Integrated,null,Europe/London,10b2e1a3-67ce-4ed9-896a-d6b414644294,872221ff-1457-4d5d-9b27-3c9668d4ee3c
1169,1957e28d-aa84-462b-a074-ebca7f639233,Downham Bromley Rd Express,Downham Bromley Rd Express,Store,GB,ENG,51.42372,-0.00392,5444,Trading,Express,Express Standalone,Europe/London,e7638245-54c9-438f-aa80-4edf93168467,null
1173,48a53074-96d8-4fd0-8d74-efacc082b109,One Stop Kirton In Lindsey,One Stop Kirton In Lindsey,One-Stop,GB,ENG,53.47656,-0.588266,0,Trading,On the Move,null,Europe/London,4b4d434e-c222-4f03-8968-9ce5b1da1956,null
1177,34fcad61-48ca-4621-b4a1-267aab97c5b6,Abingdon Fitzharris Express,Abingdon Fitzharris Express,Store,GB,ENG,51.67908,-1.28859,6426,Trading,Express,Express Standalone,Europe/London,168dc027-57b7-41e5-bfdc-196bfa2910fb,null
1181,4e36bdec-e19c-45e7-9859-6cab68603260,New Malden Extra - Vision Express,New Malden Extra - Vision Express,Vision-Express,GB,ENG,51.40227,-0.23997,0,Trading,null,null,Europe/London,c6abd6e6-49c1-4ee3-831f-d614a7fc26ef,21c13f1e-7e89-4d90-8a79-ebf3e9390039
1185,becb513d-9bd8-4629-a7b3-c52d2dcf76aa,FEGG HAYES,FEGG HAYES,Store,GB,ENG,null,null,2529,Closed,null,null,Europe/London,null,null
1189,dfdff477-3996-4b84-90cf-7d9b742b0e3b,Formby Superstore - Hot Deli,Formby Superstore - Hot Deli,Hot-Deli,GB,ENG,53.55357,-3.04313,0,Trading,null,null,Europe/London,80f192c6-6e67-4074-b090-01b8676dba8f,48cd997f-7560-4546-9e1b-f63eeb92b9ac
1193,018abfe6-4986-40bb-a125-5800e1f1dc45,East Didsbury,East Didsbury,Click-And-Collect,GB,ENG,53.412243,-2.219975,0,Closed,null,null,Europe/London,0320184e-5d11-43fb-9389-5d895fdf9dba,286d3c07-2492-47dd-b9a1-4f76c64a6016
1197,399e251d-50d3-4318-82ac-2e42de7874c6,West Durrington Extra - Vision Express,West Durrington Extra - Vision Express,Vision-Express,GB,ENG,50.83201,-0.42593,0,Trading,null,null,Europe/London,065da8a4-198a-493e-99a0-cc0db1d8e238,1389934c-525a-44df-b0dd-e20032044fb3
1201,c33b01fb-fd65-41b0-8618-dd2b5ecae7e8,Athenry,Athenry,Store,IE,IE,null,null,4656,Development,null,Superstore,Europe/Dublin,null,null
1205,28384f60-a3d3-450f-a870-11cddbcd6689,Earlham Rd Express - Petrol Filling Station,Earlham Rd Express - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,52.62927,1.24778,0,Trading,null,null,Europe/London,06388835-19b2-45f1-980c-3a322cc45de5,c0790e12-b465-4831-ad17-486823924721
1209,e39be2bd-c9e8-4f2c-a28c-46b24cde6217,FELTHAM LOCKERS,FELTHAM LOCKERS,Unknown,GB,ENG,null,null,4987,Trading,null,Other,Europe/London,4c011a3a-27c3-4d03-b648-2f1d583e28c2,null
1213,62e83b59-6749-4d20-93ff-8e0ee45c9d8c,Charlton Express,Charlton Express,Store,GB,ENG,51.21945,-1.49778,5446,Trading,Express,Express Standalone,Europe/London,93c6783d-39b2-48fd-895b-accb6b335245,null
1217,74c12901-26b5-43ab-a8c0-c6c47ce25f1c,Kinnegad Superstore,Kinnegad Superstore,Store,IE,IE,53.453113,-7.104238,6267,Trading,Superstore,Superstore,Europe/Dublin,95802ba4-ff5f-4045-a3c3-fa56b81cd3d1,null
1221,edc4bb0b-7ab9-442f-995c-55359b405793,GIAB Megapark,GIAB Megapark,Store,HU,null,47.42677187690552,19.144324252544024,0,Trading,Hipermarket,null,Europe/Budapest,8f40c783-ce1a-4f9b-bb43-dfb5f19297ac,null
1225,6cbb8883-7c50-408d-ba7b-d190314a9228,Trowbridge Extra - Clothing Collection,Trowbridge Extra - Clothing Collection,Clothing-Collection,GB,ENG,51.31667,-2.20262,0,Trading,null,null,Europe/London,b01d3b31-bfda-4fdf-8839-6e534941b1df,21c99405-c332-4020-818e-dc811c7fbdeb
1229,1130a2a3-2bef-4800-b647-1a2687a0ef6f,Barking Superstore - Hand Car Wash,Barking Superstore - Hand Car Wash,Hand-Car-Wash,GB,ENG,51.53631,0.07089,0,Trading,null,null,Europe/London,d6674b2d-9733-4deb-b0e6-8ec6cf4a3bf4,01e0134b-6140-4c0a-8b5f-e5ddf70710ec
1233,9faa1f7b-3622-4473-9fb9-94f5f29b12cf,Rosetta Rd Express,Rosetta Rd Express,Store,GB,NIR,54.57093,-5.90223,4468,Trading,Express,Express Standalone,Europe/London,5c04cac8-76fe-40cc-a4fa-43aa1ad607d5,null
1237,061aec1c-eb19-4a7a-9c77-56606a744fad,Leeds Clarence Dock Express,Leeds Clarence Dock Express,Store,GB,ENG,53.78986,-1.53137,5568,Trading,Express,Express Standalone,Europe/London,4b7c551b-8a94-4a85-94d9-a26d116c72fa,null
1241,71ed9c4d-dc70-4748-b559-a43fde595158,Shettleston Extra - NHS Workers Priority Time,Shettleston Extra - NHS Workers Priority Time,NHS-Workers-Priority-Time,GB,SCT,55.85306,-4.16378,0,Closed,null,null,Europe/London,f4de78f4-6591-42b5-8b57-ad64a4d511a3,e01b1d96-f72e-40e3-8af5-db8d62104789
1245,4ba6617a-2d23-45c1-96f2-a6da7c6f63bd,Brent Cross Hendon Way Superstore,Brent Cross Hendon Way Superstore,Store,GB,ENG,51.57416,-0.21467,2131,Trading,Superstore,Superstore,Europe/London,51084f54-b99d-43ef-8c3a-0ee9b1abddd4,null
1249,e229a9e1-aa36-4b3d-916a-ec81ac8b5aff,TAKELEY EXP,TAKELEY EXP,Store,GB,ENG,null,null,4815,Trading,null,null,Europe/London,null,null
1253,033cd16b-082a-4bb2-800d-ea979d7c49ae,Aylesbury Tring Rd Superstore - Fish,Aylesbury Tring Rd Superstore - Fish,Fish,GB,ENG,51.81636,-0.80028,0,Trading,null,null,Europe/London,074c27d6-0f77-4219-a873-e8c7a1eb8a90,162c33a3-472b-4b35-a014-5f47276ff93d
1257,cf1b7847-6119-47be-b6c1-26ab4ab4b51b,Holderness Rd Express - Clothing Collection,Holderness Rd Express - Clothing Collection,Clothing-Collection,GB,ENG,53.76703,-0.28524,0,Closed,null,null,Europe/London,fe111d7e-5da6-4739-921f-830be55db913,8019333b-fcf2-46bd-b8d1-8403c4396bd3
1261,611f2f7d-29c9-4b8c-b09d-24a821f3223f,BRAUNSTONE LEICES EXP,BRAUNSTONE LEICES EXP,Store,GB,ENG,null,null,5997,Abandoned,null,Express Standalone,Europe/London,null,null
1265,f7e3c0ba-3a2e-4c06-a531-e6f6d7590d8f,WEALDSTONE EXP,WEALDSTONE EXP,Store,GB,ENG,null,null,5707,Closed,null,Express Standalone,Europe/London,5595fec8-fec1-41a5-914e-1f85cb79ebd9,null
1269,4b39481c-7988-410b-8b9e-2e929d280426,ELY,ELY,Store,GB,ENG,null,null,2472,Closed,null,null,Europe/London,37ac3bfd-a4fc-4f48-934f-15eee1757966,null
1273,72756df9-f716-4b1c-941c-d3dbe9f26ea5,ÃšstÃ­ n. Labem,ÃšstÃ­ n. Labem,Store,CZ,null,50.661893,14.031119,0,Trading,Expres,null,Europe/Prague,28d9bdc7-00df-42c3-8fad-a0189cb299f7,null
1277,537f825c-408e-4826-b07a-f042692de074,Leeds Seacroft Extra - Hot Deli,Leeds Seacroft Extra - Hot Deli,Hot-Deli,GB,ENG,53.82161,-1.46066,0,Trading,null,null,Europe/London,8e31bb85-9967-4f72-973b-f899c79e294f,3e334fc1-19e2-4838-b32c-876db0d6eabb
1281,af6255c3-2bad-4138-8723-f27fc691c4e7,Colney Hatch Extra - Meat,Colney Hatch Extra - Meat,Meat,GB,ENG,51.60719,-0.1547,0,Trading,null,null,Europe/London,4d5a6d71-fc12-4a26-a80d-274de883e5dd,b4c909d0-2b94-4cd2-8fea-8298e757d530
1285,1eeaf4f1-b566-4627-805e-91319b356929,Leeds Bramley Superstore - Elderly And Vulnerable Priority Time,Leeds Bramley Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,53.81148,-1.62626,0,Closed,null,null,Europe/London,465c1e2f-7e2d-4e5d-8c82-42a20ea14770,a199988a-d6ec-4c82-b042-e74eeaae03f5
1289,cfc367ae-bb66-4c55-ae40-ae233e69ca8a,Shaw Ramleaze Dr Express - Clothing Collection,Shaw Ramleaze Dr Express - Clothing Collection,Clothing-Collection,GB,ENG,51.56772,-1.83734,0,Closed,null,null,Europe/London,6efc1e37-be18-4e65-b4a3-8d01fc78e971,bf0f4edb-aab6-48d9-84b5-84bf23f57c3c
1293,d07d25a1-771f-4c34-bf56-a937ac51a588,Parkhead Forge Extra - Elderly And Vulnerable Priority Time,Parkhead Forge Extra - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,SCT,55.85594,-4.21221,0,Closed,null,null,Europe/London,67225112-b9a2-4c4f-b21b-a2c185c1f5d2,454c071c-77f8-4581-b480-df0e6f4df939
1297,82352400-0728-4aa4-af20-0957633f0bdc,Teddington Metro,Teddington Metro,Store,GB,ENG,51.42583,-0.3386,3284,Trading,Metro,Superstore,Europe/London,fb0caabe-7560-49bc-b8e4-1182d47d6d62,null
1301,4c60fdde-0ffc-46db-8530-5b77d052ab64,Millbrae Rd Express,Millbrae Rd Express,Store,GB,SCT,55.82719,-4.27002,6257,Trading,Express,Express Standalone,Europe/London,0d2fa970-0fa9-48db-91d2-54a44b57638a,null
1305,70be301e-3167-490d-8b32-004cf2060f7d,Llanelli Extra - Pharmacy,Llanelli Extra - Pharmacy,Pharmacy,GB,WLS,51.6774,-4.13711,0,Trading,null,null,Europe/London,9fc39c7d-0487-4074-86e9-7590c5df26c4,b159dce3-2bb3-46d9-9cc5-96a8064bdfc2
1309,0893d8e8-c5ef-4885-8b21-381e87b17bd3,EGHAM,EGHAM,Store,GB,ENG,null,null,2462,Closed,null,null,Europe/London,b85e636b-d81d-4210-a7d6-4a59aa5aec83,null
1313,6b464219-ac1a-4b98-aec0-5b3533eedb83,Deal Mill Hill Express,Deal Mill Hill Express,Store,GB,ENG,51.20999,1.38156,6523,Trading,Express,Express Standalone,Europe/London,3faab4be-70bc-44c3-b8fc-c441c1b73d68,null
1317,7d3ef4a1-9366-4d2d-b82a-93f9c2203f9c,Stoke-on-trent Kidsgrove Superstore - Fish,Stoke-on-trent Kidsgrove Superstore - Fish,Fish,GB,ENG,53.0895,-2.24474,0,Trading,null,null,Europe/London,e5463192-409b-4f8a-af45-5372868b1a29,1cf2be88-aed8-447c-b130-395d46f35acd
1321,2670322a-5682-413d-9450-5a76bcaebfe4,Walsall Extra - Petrol Filling Station,Walsall Extra - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,52.58701,-1.98351,4188,Trading,null,Petrol Station,Europe/London,5c46e4b4-8c21-4c6a-a4be-ef62a1d7cd6b,4d673a63-1a3a-4f66-84a7-e3ac9dbcd786
1325,9f42fb00-9ae7-4d0b-a6b6-f4b43611069f,STAINES EXP,STAINES EXP,Store,GB,ENG,null,null,6143,Abandoned,null,Express Standalone,Europe/London,9bf0a537-cab1-4fe0-afe9-2b3c1c22cdfc,null
1329,51b384e3-fcdf-4506-aac0-fe0fb214af7a,Bolton Horwich Extra - Travel Money,Bolton Horwich Extra - Travel Money,Travel-Money,GB,ENG,53.5814,-2.53178,0,Trading,null,null,Europe/London,35118254-5069-4577-b6cc-a845d93c9821,da22057e-cf47-4135-828f-4462c866ba26
1333,42f5bb23-db72-4e3f-a0cb-a0ff7e2789d1,Taunton Superstore - Scan as you Shop,Taunton Superstore - Scan as you Shop,Scan-as-you-Shop,GB,ENG,51.01529,-3.11167,0,Trading,null,null,Europe/London,3a58facf-0ade-4bea-b401-277c09e83dd7,6780ab30-cbfc-424d-bbe8-5884a0a4f18b
1337,e12bee24-df29-4b76-a071-a0f86450c0d9,DUMMY OPTICS,DUMMY OPTICS,Unknown,GB,ENG,null,null,6910,null,null,null,Europe/London,null,null
1341,4c53652d-c14c-43b3-a23e-3f18761c7212,Haywards Heath Express - Clothing Collection,Haywards Heath Express - Clothing Collection,Clothing-Collection,GB,ENG,50.99711,-0.10117,0,Trading,null,null,Europe/London,a09f9e4b-9260-4190-b9b8-8b4997e36c45,2c531d5e-a64f-46ef-bba2-5e4cd2645714
1345,bc663c73-cf8c-4aa6-b405-8c70d767c641,Cheltenham High Street Express - Clothing Collection,Cheltenham High Street Express - Clothing Collection,Clothing-Collection,GB,ENG,51.902771,-2.07629,0,Closed,null,null,Europe/London,3b1ab1cb-b898-463d-90a0-66d9be545cba,fda4850c-e4dd-40b4-8156-7f29523d433c
1349,a04b4c55-a60b-43e4-abf3-679dfaa98094,Douglas Isle Of Man Superstore - NHS Workers Priority Time,Douglas Isle Of Man Superstore - NHS Workers Priority Time,NHS-Workers-Priority-Time,IM,null,54.14773,-4.48897,0,Closed,null,null,Europe/Isle_of_Man,dbb1d5ee-0de8-4fae-9b1c-b22908ba057b,548ba870-b2e3-4c06-9ff3-051d8e2c0270
1353,8e413b43-62d4-4559-8b13-8a6aa7af4b29,WH HUB 4th noname,WH HUB 4th noname,Distribution-Centre,HU,null,null,null,0,Trading,null,null,Europe/Budapest,null,null
1357,9b01642b-ce9e-42e8-b9a0-a09a5efff162,Barrow Metro - Elderly And Vulnerable Priority Time,Barrow Metro - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,54.11546,-3.1947,0,Closed,null,null,Europe/London,42dfbb61-a3c8-4003-97bf-ad446d5e9d26,57ea3625-bea1-4b3a-a0aa-968dbe5494c0
1361,61374e59-c377-4019-bb0e-4d41260ab44f,MEXBOROUGH,MEXBOROUGH,Store,GB,ENG,null,null,2884,Closed,null,High Street,Europe/London,00194451-412a-4f5a-a16b-630a35a5b582,null
1365,454b4150-45dd-4604-8c72-11fadad9f0f1,Rayners Lane Tube Station Car Park,Rayners Lane Tube Station Car Park,Click-And-Collect,GB,ENG,51.575456,-0.370899,0,Closed,null,null,Europe/London,5deed31b-905a-4fac-89d1-296501e0a39e,8d72afa9-3f2e-4b23-9c6a-9f0d842833ac
1369,993f7c50-be68-4d7e-b41b-5e23e4b24f05,Athlone Baylough Express,Athlone Baylough Express,Store,IE,IE,53.422452,-7.969981,5467,Trading,Express,Express Standalone,Europe/Dublin,7d1152e8-2dc9-4af6-9e2c-186ec62e410f,null
1373,7a62abcd-a66f-4b29-b16b-59439fe24719,Northampton South Extra - NHS Workers Priority Time,Northampton South Extra - NHS Workers Priority Time,NHS-Workers-Priority-Time,GB,ENG,52.21543,-0.91106,0,Closed,null,null,Europe/London,96bd6c4d-8bc3-4985-9390-dc982b4ab9e4,8f82fc7c-71c8-419c-89a9-574365f32e19
1377,c71fbf13-88fc-4075-968d-f7cc2503b932,Corby Oakley Rd Extra - Pharmacy,Corby Oakley Rd Extra - Pharmacy,Pharmacy,GB,ENG,52.48709,-0.68306,0,Trading,null,null,Europe/London,fa478ff6-dc92-4e85-9dd0-aaac82b73b84,7cc87eb0-c678-4f76-92eb-d21a2c8cb148
1381,bbdf5b8c-5482-4a71-a795-c8c3e2f6e667,CARMARTHEN 8-9 DARK,CARMARTHEN 8-9 DARK,Store,GB,WLS,null,null,4570,Development,null,Express Standalone,Europe/London,5223364a-4bda-4417-9258-c24b1b7ca32f,null
1385,481d5704-3508-4d86-a39d-fafe7f23f3c0,Lillie House Express,Lillie House Express,Store,GB,ENG,52.63044,-1.12431,6045,Trading,Express,Express Standalone,Europe/London,aeeae611-e2a7-4956-918c-94b94e0a8a99,null
1389,de475318-d6f1-444e-be5e-cd582af54f71,Skipton Superstore - Grocery Collection,Skipton Superstore - Grocery Collection,Grocery-Collection,GB,ENG,53.95747,-2.02158,0,Trading,null,null,Europe/London,ad01a485-e7aa-4931-8bb3-01cc811e1d8c,82380da5-650e-4bb9-89cc-770871875090
1393,0903f248-af98-4143-a905-cd35b2bebf05,Wolverhampton - Petrol Filling Station,Wolverhampton - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,null,null,4287,Development,null,Petrol Station,Europe/London,null,511aea47-c9a0-4709-b1a5-7da6f0a94859
1397,d36da11d-e9dc-47f4-b350-0aa66dc0b30a,Shrewsbury Extra - Clothing Collection,Shrewsbury Extra - Clothing Collection,Clothing-Collection,GB,ENG,52.73793,-2.72536,0,Closed,null,null,Europe/London,be864e5f-6762-46f1-9f3b-149f50928fb1,f234abea-038c-4c25-9b29-1dae55a4e88f
1401,c43d6570-51cd-47d4-853a-c9c400750198,Calne Superstore - Meat,Calne Superstore - Meat,Meat,GB,ENG,51.45399,-1.99438,0,Trading,null,null,Europe/London,2bd2d67a-c2d7-43fd-9551-47f5e2771f38,e4dbde51-de01-4f88-bddc-a07e91bb54bf
1405,985c90b4-f27a-4043-8ba7-7f0dfb759996,Falkirk Grahams Rd Superstore,Falkirk Grahams Rd Superstore,Store,GB,SCT,56.00263,-3.78234,2550,Trading,Superstore,Superstore,Europe/London,532caa75-2ba9-449c-ba97-1840cf5b635a,null
1409,000578f9-1d91-430c-b0a5-dabc90a01d98,New Malden Extra - Travel Money,New Malden Extra - Travel Money,Travel-Money,GB,ENG,51.40227,-0.23997,0,Trading,null,null,Europe/London,c6abd6e6-49c1-4ee3-831f-d614a7fc26ef,21c13f1e-7e89-4d90-8a79-ebf3e9390039
